Key,Name,Folder,Category,Priority,Status,Automation,AutomatedTest,Component,Objective,Precondition,TestData,Steps,ExpectedResult,Labels
MSM-VENDORS-UI-001,Vendors list renders with all columns and status badges,/Vendors/UI,UI,High,Approved,Automated,e2e/generated/vendors.spec.ts,Vendors,"Verify the vendors list page renders the header, search box, and table with Code, Name, GSTIN, Phone, Status, Actions columns and correct Active/Inactive badges.",Logged in as an approved user (QA super-admin); at least one active and one inactive vendor exist in the current tenant.,,"1. Navigate to /app/vendors.
2. Observe the page header 'Vendors' with subtitle 'Suppliers and subcontractors used by purchases and job work' and the 'Add Vendor' button.
3. Observe the search input with placeholder 'Search name, code, GSTIN…'.
4. Inspect the table header row and both an active-vendor and an inactive-vendor data row.","Table shows columns Code (monospace), Name, GSTIN, Phone, Status, Actions. Empty GSTIN/Phone render as '—'. Active vendors show a green 'Active' badge; inactive vendors show a gray 'Inactive' badge. Each row has Edit (pencil) and Delete (trash) icon buttons; rows are ordered alphabetically by name.",smoke regression
MSM-VENDORS-UI-002,Loading skeleton and empty state display correctly,/Vendors/UI,UI,Normal,Approved,Automated,e2e/generated/vendors.spec.ts,Vendors,Verify the TableSkeleton shows while loading and the EmptyState shows both when no vendors exist and when a search matches nothing (same UI branch).,Logged in as an approved user (QA super-admin).,"Search term unlikely to match, e.g. 'zzzznomatch'","1. Navigate to /app/vendors and observe the initial state before data resolves (throttle network if needed).
2. Once loaded, type 'zzzznomatch' into the search box.
3. Clear the search box.","During load a table skeleton (8 rows x 5 cols) is shown. When no rows match the search, the EmptyState with the building icon, title 'No vendors' and description 'Add a supplier or subcontractor to use in purchases and job work.' is shown in place of the table (note: this is the same branch used when the tenant genuinely has no vendors). Clearing the search restores the list.",regression
MSM-VENDORS-UI-003,Add/Edit modal renders all fields and edit metadata,/Vendors/UI,UI,Normal,Approved,Automated,e2e/generated/vendors.spec.ts,Vendors,"Verify the VendorForm modal shows all input fields, autofocuses Name, and in edit mode shows the vendor code in the title and the last-updated timestamp.",Logged in as an approved user (QA super-admin); at least one vendor exists.,,"1. Click 'Add Vendor' and inspect the modal title, fields, focus, and footer buttons.
2. Cancel the modal, then click the Edit (pencil) icon on an existing vendor row.
3. Inspect the edit modal title, the 'Last updated' line, footer button, and that fields are prefilled.","Add modal titled 'Add Vendor' with fields: Vendor Name (required, autofocused), GSTIN, Phone, Email, Status select (Active/Inactive), Address textarea, Notes textarea, and Cancel / 'Add vendor' buttons. Edit modal titled 'Edit VENxxx' shows a right-aligned 'Last updated <datetime>' line and a 'Save changes' button; all fields are prefilled with the vendor's stored values.",regression
MSM-VENDORS-FUNC-001,Create a new vendor with auto-generated code,/Vendors/Functionality,Functionality,Highest,Approved,Manual,,Vendors,"Verify a new vendor can be created, receives a server-minted VENxxx code, and appears in the list.",Logged in as an approved user (QA super-admin).,"Name='QA Test Vendor', GSTIN='29ABCDE1234F1Z5', Phone='9876543210', Email='qa@vendor.test', Address='1 Test Rd', Notes='created by QA', Status=Active","1. Click 'Add Vendor'.
2. Fill Name, GSTIN, Phone, Email, Address, Notes; keep Status = Active.
3. Click 'Add vendor'.
4. Locate the new vendor in the list (search by name if paginated).","A success toast 'Vendor added' appears, the modal closes, the list refreshes (qk.vendors.all invalidated), and the new vendor appears with an auto code in the VENxxx sequence and an 'Active' badge. Its GSTIN and Phone display the entered values.",smoke regression
MSM-VENDORS-FUNC-002,Edit an existing vendor updates fields and status,/Vendors/Functionality,Functionality,High,Approved,Manual,,Vendors,"Verify editing a vendor persists changed fields including toggling Active to Inactive, and refreshes the Last updated timestamp.",Logged in as an approved user (QA super-admin); a disposable QA vendor exists.,"New Phone='9000000001', Status=Inactive","1. Click the Edit (pencil) icon on the QA vendor and note the current 'Last updated' time.
2. Change Phone and set Status to Inactive.
3. Click 'Save changes'.
4. Re-open the same vendor's edit modal.","Toast 'Vendor updated' appears, modal closes, the row now shows the new phone and a gray 'Inactive' badge. Re-opening shows the persisted values and a newer 'Last updated' timestamp (updated_at bumped server-side).",regression
MSM-VENDORS-FUNC-003,"Search filters vendors by code, name, GSTIN, and phone",/Vendors/Functionality,Functionality,High,Approved,Automated,e2e/generated/vendors.spec.ts,Vendors,"Verify the client-side search filters the list (case-insensitive) across the combined code+name+GSTIN+phone string, and results stay alphabetically sorted by name.","Logged in as an approved user (QA super-admin); multiple vendors with distinct names, codes, GSTINs and phones exist.","A partial name (mixed case), a VEN code fragment, a GSTIN fragment (mixed case), a phone-number fragment","1. On /app/vendors type a partial vendor name in mixed case into the search box; observe results.
2. Clear and type a partial VEN code (e.g. 'ven0' / 'VEN0').
3. Clear and type a GSTIN fragment in lowercase.
4. Clear and type a partial phone number.","Each search narrows the list to only matching vendors; matching is case-insensitive (the whole code/name/gstin/phone string is compared lowercased). Displayed rows stay sorted alphabetically by name. Clearing the box restores the full list. Note: matching is against the concatenated string, so a query spanning a boundary (e.g. code then a space then start of name) will also match.",regression
MSM-VENDORS-FUNC-004,Delete an unused vendor after confirmation,/Vendors/Functionality,Functionality,High,Approved,Manual,,Vendors,"Verify deleting an unused vendor prompts for confirmation and removes it from the list on confirm, and leaves it intact on cancel.",Logged in as an approved user (QA super-admin); a disposable QA vendor NOT referenced by any subcontract order/doc exists.,,"1. Click the Delete (trash) icon on the disposable QA vendor.
2. In the confirm dialog (title 'Delete vendor', message 'Delete ""<name>""?'), click Cancel and verify no deletion.
3. Click Delete again and confirm.",Cancelling closes the dialog and leaves the vendor intact. Confirming shows toast 'Vendor deleted' and removes the vendor from the list (qk.vendors.all invalidated).,regression
MSM-VENDORS-FUNC-005,Pagination navigates multi-page vendor list,/Vendors/Functionality,Functionality,Low,Approved,Automated,e2e/generated/vendors.spec.ts,Vendors,Verify pagination controls page through the vendor list when rows exceed one page and recompute against the filtered set.,Logged in as an approved user (QA super-admin); enough vendors exist to exceed one page.,,"1. Navigate to /app/vendors.
2. Use the pagination control to move to the next page and back.
3. Apply a search filter and observe pagination adjusts to the filtered set.","Pagination shows correct page counts, next/previous navigation works, and applying a filter recomputes the paged set (resetting to a valid page) correctly.",regression
MSM-VENDORS-VAL-001,Vendor name is required on create/edit,/Vendors/Validation,Validation,Highest,Approved,Automated,e2e/generated/vendors.spec.ts,Vendors,Verify submitting the form with an empty or whitespace-only name is blocked with a toast error and no record is written.,Logged in as an approved user (QA super-admin).,Name='' and Name='   ' (spaces only),"1. Click 'Add Vendor', leave Name blank, fill other fields, click 'Add vendor'.
2. Set Name to spaces only and click 'Add vendor' again.
3. Note the vendor count before and after.","Both attempts show toast error 'Vendor name is required', the modal stays open, and no vendor is created (the list count is unchanged). This applies identically on the edit form.",regression negative
MSM-VENDORS-VAL-002,Optional fields trimmed and blanks stored as null,/Vendors/Validation,Validation,Normal,Approved,Manual,,Vendors,"Verify Name and optional fields (GSTIN/Phone/Email/Address/Notes) are trimmed on save and, when blank/whitespace-only, are sent as undefined (stored NULL, displayed as '—').",Logged in as an approved user (QA super-admin).,"Name='  Trim Vendor  ', GSTIN='  ' (spaces only), Phone='  9998887776  '","1. Create a vendor with a padded Name, whitespace-only GSTIN, and a padded Phone (leave Email/Address/Notes blank).
2. Open the created vendor's row in the list and its edit modal to inspect saved values.","Name is stored trimmed ('Trim Vendor'), Phone is stored trimmed ('9998887776'), and the whitespace-only GSTIN is saved as NULL and rendered as '—' in the list. Blank Email/Address/Notes are also stored NULL. No leading/trailing whitespace persists in any field.",regression
MSM-VENDORS-VAL-003,No format validation on GSTIN/email/phone (documented gap),/Vendors/Validation,Validation,Low,Approved,Manual,,Vendors,"Document that the form performs no client-side format validation on GSTIN, email, or phone (no Zod schema); malformed values are accepted and saved.",Logged in as an approved user (QA super-admin).,"GSTIN='not-a-gstin', Email='invalid-email', Phone='abc123'","1. Create a vendor with a valid Name and clearly malformed GSTIN, Email, and Phone.
2. Save and inspect the stored values in the list and edit modal.",The vendor saves successfully with the malformed values and no validation error is shown. This confirms the current no-format-validation behavior (unlike CompanyForm which uses RHF+Zod); flag as a potential enhancement.,regression known-gap
MSM-VENDORS-API-001,Vendor code auto-numbering is sequential and unique,/Vendors/API,API,High,Approved,Manual,,Vendors,"Verify createVendor mints codes from the server next_seq counter so consecutively created vendors get sequential, zero-padded, unique VENxxx codes.",Logged in as an approved user (QA super-admin); note the current highest VEN code in the tenant.,Two vendors created back-to-back,"1. Create vendor A, note its code.
2. Create vendor B immediately after, note its code.
3. Compare the two codes and confirm uniqueness against existing codes.","Codes follow VEN + zero-padded width-3 sequence (e.g. VEN010, VEN011), increment by one, and are unique — confirming server-side atomic numbering via the next_seq RPC (no client-side sequence race).",regression api
MSM-VENDORS-API-002,Save/delete failures surface friendly error toasts,/Vendors/API,API,Normal,Approved,Manual,,Vendors,Verify network/constraint errors from create/update/delete are caught and shown via toUserMessage as friendly toasts rather than crashing the page.,Logged in as an approved user (QA super-admin); ability to simulate a failed request (e.g. offline in DevTools).,,"1. Open DevTools and set the network to offline (or block the Supabase request).
2. Attempt to add or save a vendor with a valid name.
3. Observe the toast and modal state, then re-enable the network and retry.",The mutation fails gracefully with an error toast (the mapped message or the fallback 'Save failed'); the modal remains open and no client-side crash occurs (no __next_error__ page). Restoring the network allows a successful retry.,regression negative api
