Key,Name,Folder,Category,Priority,Status,Automation,AutomatedTest,Component,Objective,Precondition,TestData,Steps,ExpectedResult,Labels
MSM-ROLES-UI-001,"Super-admin view renders header, subtitle, footnote and the approved-users table",/Roles & Permissions/UI,UI,High,Approved,Manual,,Roles & Permissions,Verify /app/roles loads for the super admin with the super-admin copy and a five-column table listing ALL approved users.,Logged in as QA super-admin; at least one APPROVED user exists in app_state.data.users (approve a registration via /app/approvals if the list is empty).,,"1. Navigate to /app/roles.
2. Confirm the PageHeader title 'Roles & Permissions' and subtitle 'Assign roles and choose which modules each approved user can access.'
3. Confirm the footnote (ShieldCheck icon) reads 'Only the super admin can manage roles and module access.'
4. Confirm the table headers read User, Company, Role, Module Access, Actions.
5. Confirm every approved user (regardless of shop or role) appears with name (or '—') + email, company, a Role badge, an access summary and a 'Manage access' button.","The page renders with no crash (no <html id=""__next_error__"">); super-admin subtitle and footnote are shown; the table lists all approved users across every shop.",smoke regression
MSM-ROLES-UI-002,Admin view renders shop-scoped copy (subtitle and footnote differ from super admin),/Roles & Permissions/UI,UI,High,Approved,Manual,,Roles & Permissions,"Verify an Admin sees the delegated-manager copy: the shop-scoped subtitle and footnote, distinct from the super-admin strings.","Logged in as an approved Admin (me.role === 'Admin', NOT the super admin) whose companyName has at least one approved 'User' teammate.",,"1. As the Admin, navigate to /app/roles.
2. Confirm the page renders (not redirected to /app).
3. Read the PageHeader subtitle.
4. Read the footnote below the card.",The subtitle reads 'Grant your shop’s users access to the modules you manage.' and the footnote reads 'You can grant module access to users in your shop. Roles and approvals are handled by the super admin.' — neither matches the super-admin strings.,regression
MSM-ROLES-UI-003,Empty-state title/description differ between super admin and Admin,/Roles & Permissions/UI,UI,Normal,Approved,Manual,,Roles & Permissions,Verify the EmptyState copy is manager-specific when there are no rows to manage.,Logged in on the isolated tnt_qa tenant; for the super-admin run no user has status 'approved'; for the Admin run the Admin's shop has zero approved 'User' teammates.,,"1. As the QA super-admin with no approved users, open /app/roles and read the empty state.
2. Then log in as an approved Admin whose shop has no approved User teammates and open /app/roles.
3. Read the empty state for the Admin.","Super admin sees UserCog icon, title 'No approved users yet', description 'Approve registrations first — approved users appear here for role and module assignment.'; Admin sees title 'No users in your shop yet', description 'Users who register with your company name and are approved by the super admin will appear here.'; no table headers render in either case.",regression
MSM-ROLES-UI-004,Role badge tone and access-summary text render per user role/permissions,/Roles & Permissions/UI,UI,Normal,Approved,Manual,,Roles & Permissions,"Verify the Role badge tone (violet/blue/slate) and Module Access strings ('All modules', 'Dashboard only', 'N of 8 modules') are correct.","Logged in as QA super-admin; three approved users exist: one Admin, one User with permissions [] (empty), one User with permissions ['production','sales'].","Admin user; User permissions=[]; User permissions=['production','sales']","1. Navigate to /app/roles.
2. Inspect the Admin row's Role badge and Module Access cell.
3. Inspect the empty-permissions User row's Module Access cell.
4. Inspect the two-module User row's Module Access cell.",Admin row: blue 'Admin' badge and 'All modules'. Empty-permissions User: slate 'User' badge and 'Dashboard only'. Two-module User: slate 'User' badge and '2 of 8 modules'.,regression
MSM-ROLES-UI-005,"Super-admin editor opens with role selector, locked Dashboard row and 8 module checkboxes",/Roles & Permissions/UI,UI,Normal,Approved,Manual,,Roles & Permissions,Verify the AccessEditor for the super admin shows the Admin/User role selector plus the locked Dashboard row and all 8 grantable checkboxes.,Logged in as QA super-admin; at least one approved 'User' exists.,,"1. Navigate to /app/roles and click 'Manage access' on an approved User row.
2. Confirm the modal title reads 'Manage access — {name or email}'.
3. Confirm the Role section shows both 'Admin' (Full access to every module.) and 'User' (Only the modules selected below.), with 'User' preselected.
4. Confirm the Modules section shows the locked 'Dashboard' row ('Always available') then 8 checkboxes: Production Planning, Inventory, Sales, CRM, Human Resources, Accounts & Finance, Supply Chain, Configuration & Settings.
5. Confirm the Select all/Clear all toggle and the Cancel / Save access footer buttons are present.","Modal opens with correct title, both role buttons, the locked Dashboard row, all 8 grantable checkboxes with descriptions, the Select all toggle and Cancel + Save access buttons.",regression
MSM-ROLES-UI-006,Choosing Admin role hides checkboxes and shows the all-modules note (super admin),/Roles & Permissions/UI,UI,Normal,Approved,Manual,,Roles & Permissions,"Verify selecting Admin in the super-admin editor hides the checkbox list, locked Dashboard row and Select all/Clear all toggle and shows the informational note.",Logged in as QA super-admin; at least one approved User exists.,,"1. Open 'Manage access' for an approved User.
2. Click the 'Admin' role button.
3. Observe the Modules section.","The checkbox list, locked Dashboard row and Select all/Clear all toggle disappear; a blue note reads 'Admins have access to all modules — no need to select individually.'",regression
MSM-ROLES-UI-007,Admin editor HIDES the role selector and shows only the module checkboxes,/Roles & Permissions/UI,UI,High,Approved,Manual,,Roles & Permissions,"Verify that when an Admin opens the editor (canEditRole=false), the Admin/User role selector is not rendered — only the locked Dashboard row and grantable module checkboxes appear.",Logged in as an approved Admin whose shop has at least one approved 'User' teammate.,,"1. As the Admin, navigate to /app/roles and click 'Manage access' on a teammate User row.
2. Confirm the modal title 'Manage access — {name or email}'.
3. Look for the Role section (the Admin/User two-button selector).
4. Inspect the Modules section.","No Role selector is shown (no Admin/User buttons); the editor shows the locked Dashboard 'Always available' row, the 8 grantable module checkboxes and the Select all/Clear all toggle; Save access and Cancel are present.",regression security
MSM-ROLES-VAL-001,Editor pre-populates checked modules from the user's existing permissions,/Roles & Permissions/Validation,Validation,Normal,Approved,Manual,,Roles & Permissions,Verify the AccessEditor initializes its checked set from user.permissions filtered to valid module keys the manager is allowed to grant.,"Logged in as QA super-admin; an approved User with role 'User' and permissions ['inventory','crm'].","permissions=['inventory','crm']","1. Navigate to /app/roles and click 'Manage access' for that User.
2. Inspect the preselected role and which module checkboxes are checked.","'User' role is preselected; exactly Inventory and CRM checkboxes are checked, all others unchecked; the Dashboard row stays locked/always-on.",regression
MSM-ROLES-VAL-002,Invalid/unknown permission keys are ignored when populating the editor,/Roles & Permissions/Validation,Validation,Low,Approved,Manual,,Roles & Permissions,Verify isModuleKey filtering drops stale/unknown keys and 'dashboard' (always-on) so the editor only checks recognised grantable modules.,"Logged in as QA super-admin; an approved User whose permissions = ['sales','legacy_module','dashboard'].","permissions=['sales','legacy_module','dashboard']","1. Open 'Manage access' for that User.
2. Inspect the checked module checkboxes.
3. Note that 'dashboard' is the locked always-on row (not a checkbox) and 'legacy_module' is not a real module.",Only the 'Sales' checkbox is checked; 'legacy_module' and 'dashboard' produce no checkbox; no crash.,regression negative
MSM-ROLES-VAL-003,Admin list membership is case/whitespace-insensitive on company name (sameCompany),/Roles & Permissions/Validation,Validation,Normal,Approved,Manual,,Roles & Permissions,"Verify sameCompany trims and lowercases both sides so a User whose companyName differs from the Admin's only by case/spacing is still listed, while a truly different company is not.","Logged in as an approved Admin with companyName e.g. 'Acme Tools'; three approved Users exist: one companyName '  acme tools ' (case+space variant), one 'Acme Tools' exact, one 'Beta Works' (different company). All have role 'User'.","Admin company 'Acme Tools'; Users: '  acme tools ', 'Acme Tools', 'Beta Works'","1. As the Admin, navigate to /app/roles.
2. Inspect which User rows are listed.",The '  acme tools ' and 'Acme Tools' Users are both listed (matched after trim+lowercase); the 'Beta Works' User is NOT listed.,regression
