Key,Name,Folder,Category,Priority,Status,Automation,AutomatedTest,Component,Objective,Precondition,TestData,Steps,ExpectedResult,Labels
MSM-INVOICES-UI-001,"Invoices list renders summary tiles, GST summary, company-wise table and invoice grid",/Invoices/UI,UI,High,Approved,Automated,e2e/generated/invoices.spec.ts,Invoices,"Verify the Invoices page renders the header, this-month tiles, GST summary, company-wise summary and the invoice table with all expected columns.",Logged in as QA super-admin; at least a few invoices exist across companies.,,"1. Navigate to /app/invoices.
2. Observe the page header 'Invoices' with Excel and New Invoice actions.
3. Observe the 'This month' section with four StatTiles: Invoices, Invoiced value, Received, Outstanding (each with a vs-last-month delta).
4. Observe the 'GST Summary' four tiles: Taxable value, CGST, SGST, Total GST.
5. Observe the Company-wise summary table with columns Company, Invoices, Total, Paid, Outstanding.
6. Observe the main invoice table columns: Invoice, Date, Company, Total, Paid, Outstanding, Status, Actions.",All sections render without errors; tiles show currency-formatted values; the invoice table lists invoices sorted by date descending with a status badge per row.,smoke regression
MSM-INVOICES-UI-002,Row action buttons respect invoice status (Record payment / Edit / Cancel visibility),/Invoices/UI,UI,Normal,Approved,Automated,e2e/generated/invoices.spec.ts,Invoices,"Verify per-row action buttons are shown/hidden based on status: Record payment shows when status is neither Cancelled nor Paid (so Unpaid and Partially Paid both show it), Edit shows when neither Paid nor Cancelled, Cancel shows when not Cancelled, and Download PDF/Print always show.","Logged in as QA super-admin; invoices exist in Unpaid, Partially Paid, Paid and Cancelled statuses.",,"1. Open /app/invoices.
2. Locate an Unpaid invoice row and note its action buttons.
3. Locate a Partially Paid invoice row and note its action buttons.
4. Locate a Paid invoice row and note its action buttons.
5. Locate a Cancelled invoice row and note its action buttons.","Unpaid and Partially Paid rows both show Record payment, Download PDF, Print, Edit and Cancel. Paid row hides Record payment and Edit but shows Download PDF, Print and Cancel. Cancelled row shows only Download PDF and Print (Record payment, Edit and Cancel are hidden).",regression
MSM-INVOICES-UI-003,Empty state and filtered empty state display correctly,/Invoices/UI,UI,Low,Approved,Automated,e2e/generated/invoices.spec.ts,Invoices,Verify the EmptyState and company-summary empty message appear when no invoices match.,Logged in as QA super-admin.,"Search term guaranteed to match nothing, e.g. 'zzz-no-match'.","1. Open /app/invoices.
2. Type 'zzz-no-match' into the search box.
3. Observe the company-wise summary section and the main invoice card.",Company-wise summary shows 'No invoices for the current filters.' and the main card shows the 'No invoices' EmptyState with the create hint ('Create an invoice from completed jobs or manually.').,regression
MSM-INVOICES-VAL-001,"Live invoice totals recompute correctly from lines, discount, CGST and SGST",/Invoices/Validation,Validation,High,Approved,Automated,e2e/generated/invoices.spec.ts,Invoices,"Verify subtotal, taxable, CGST/SGST amounts and total are computed correctly and rounded to two decimals in the form.",Logged in as QA super-admin; New Invoice modal open.,"Line 1: qty 10, rate 100 (=1000); Line 2: qty 2, rate 250 (=500); Discount 100; CGST 9; SGST 9.","1. Click New Invoice.
2. Add two line items with the test-data quantities and rates.
3. Enter Discount 100, CGST 9, SGST 9.
4. Read the Subtotal, CGST amount, SGST amount and Total in the totals panel.",Subtotal = 1500.00; taxable = 1400; CGST amount = 126.00; SGST amount = 126.00; Total = 1652.00 (all two-decimal rounded). The CGST/SGST amount fields are disabled/read-only.,regression calculation
MSM-INVOICES-VAL-002,Discount exceeding subtotal clamps taxable to zero (no negative tax/total),/Invoices/Validation,Validation,Normal,Approved,Automated,e2e/generated/invoices.spec.ts,Invoices,"Verify taxable value is floored at zero (max(0, subtotal-discount)) when discount exceeds subtotal so tax and total never go negative.",Logged in as QA super-admin; New Invoice modal open.,"Line: qty 1, rate 500 (=500); Discount 900; CGST 9; SGST 9.","1. Click New Invoice and add a single line qty 1 rate 500.
2. Enter Discount 900, CGST 9, SGST 9.
3. Read the totals panel.","Taxable is treated as 0; CGST amount = 0.00, SGST amount = 0.00, Total = 0.00. No negative values displayed.",regression calculation edge-case
MSM-INVOICES-VAL-003,Blank invoice number auto-numbers and empty lines are stripped on save,/Invoices/Validation,Validation,Normal,Approved,Manual,,Invoices,Verify a blank invoice number falls back to the auto-generated number (nextNumberedDoc) and lines with no description/rate/material are filtered out on submit.,Logged in as QA super-admin; New Invoice modal open; a company selected and date set.,"One real line (description 'Machining', qty 1, rate 100); one blank line; Invoice Number left empty.","1. Click New Invoice; select a company and set the invoice date.
2. Fill one line with description 'Machining', qty 1, rate 100.
3. Click Add line to create a second empty line and leave it blank.
4. Leave Invoice Number blank (note the preview placeholder).
5. Click Create invoice.","Invoice is created with only the single non-empty line; the invoice number matches the auto-numbering sequence (nextNumberedDoc), not blank.",regression
MSM-INVOICES-VAL-004,Changing company drops challan-derived lines and clears the DC reference,/Invoices/Validation,Validation,Normal,Approved,Automated,e2e/generated/invoices.spec.ts,Invoices,"Verify that switching the selected company after importing delivery-challan lines removes those lines, resets the material filter, and clears the Delivery Challan Ref field (lines belong to the prior company).",Logged in as QA super-admin; New Invoice modal open; two companies each with at least one Open delivery challan.,,"1. Click New Invoice and select Company A.
2. In 'Add from delivery challans', tick one challan so its lines and DC number import.
3. Confirm the imported lines and the auto-filled Delivery Challan Ref.
4. Change the Company selector to Company B.
5. Inspect the line items and the Delivery Challan Ref field.","On company change the challan-derived lines are removed, the challan selection and material filter reset, and the Delivery Challan Ref is cleared. Only non-challan lines (if any) remain.",regression edge-case
MSM-INVOICES-VAL-005,Required Company/Date are not enforced client-side; RPC is the gate,/Invoices/Validation,Validation,Low,Draft,Manual,,Invoices,Verify the form does not hard-block submission when Company or Date is empty (the 'required' markers are advisory); creation is rejected by the create_invoice RPC / backend rather than by a client-side validation message.,Logged in as QA super-admin; New Invoice modal open; browser dev-tools Network tab open.,"Leave Company as 'Select…' (empty) and Invoice Date empty; add one line 'Test', qty 1, rate 10.","1. Click New Invoice.
2. Clear/leave the Company as unselected and leave Invoice Date empty.
3. Add a single line item.
4. Click Create invoice and observe whether a client-side validation blocks it before any request, then observe the network request/response.",No client-side validation summary blocks the click; the app attempts the create_invoice RPC which rejects the missing company/date (error toast surfaced via toUserMessage). No invalid invoice is persisted. This documents that Company/Date 'required' markers are not enforced locally.,regression edge-case
MSM-INVOICES-FUNC-001,Create a new GST invoice (Unpaid) and verify it appears in the list,/Invoices/Functionality,Functionality,Highest,Approved,Manual,,Invoices,Verify the end-to-end create flow produces an Unpaid invoice with correct totals and it appears in the list and month tiles.,Logged in as QA super-admin; at least one active company exists.,"Company: any active; Date: today; Line: 'CNC Job', qty 5, rate 200; CGST 9; SGST 9.","1. Click New Invoice.
2. Select the company, set date to today, add the line item and set CGST 9 / SGST 9.
3. Click Create invoice.
4. Confirm the success toast and locate the new invoice in the list.","Invoice is created with status Unpaid, Total = 1180.00, appears at the top of the list (date desc), and the this-month Invoices count / Invoiced value tiles reflect it.",smoke regression
MSM-INVOICES-FUNC-002,Save invoice as Draft and confirm exclusion from receivables totals,/Invoices/Functionality,Functionality,High,Approved,Manual,,Invoices,Verify Save-as-draft creates a Draft invoice and that Draft invoices are excluded from the GST/company money summaries and month tiles.,Logged in as QA super-admin.,"Company: any active; Line: 'Draft item', qty 1, rate 1000; CGST 9; SGST 9.","1. Click New Invoice, fill the fields per test data.
2. Click Save as draft.
3. Filter the status dropdown to Draft and locate the invoice.
4. Note the invoice total, then compare the GST Summary and company-wise totals with the Draft filter cleared vs applied.","Invoice is saved with status Draft. It is not counted in the this-month money tiles nor in receivables (isEligibleInvoice excludes Draft), though it is visible when filtered to Draft.",regression
