Key,Name,Folder,Category,Priority,Status,Automation,AutomatedTest,Component,Objective,Precondition,TestData,Steps,ExpectedResult,Labels
MSM-APPROVALS-UI-001,"Approvals page renders header, filter bar and table columns",/User Approvals/UI,UI,High,Approved,Manual,,User Approvals,"Verify the User Approvals page shows the correct header/subtitle, the four status filter buttons, the date-range filter, the pending-count badge, and all seven table columns.",Logged in as QA super-admin; at least one pending registration exists in the current tenant.,,"1. Navigate to /app/approvals.
2. Observe the PageHeader title 'User Approvals' and its subtitle.
3. Observe the Status filter row with buttons Pending, Approved, Rejected, All and the date-range (from/to) inputs.
4. Inspect the amber count pill on the Pending button.
5. Inspect the table header row and one pending data row.","Header title is 'User Approvals'. With pending rows present the subtitle reads 'N registration(s) awaiting approval' (singular 'registration' when exactly 1). The Pending button is highlighted by default and carries an amber pill showing the pending count. Table columns are Applicant (name + email), Company, Contact, GSTIN, Requested, Status, Actions (right-aligned). Empty fields render as '—'. Footer reads 'Only the super admin can see and action this page.'",smoke regression
MSM-APPROVALS-UI-002,Status badge tone and conditional action buttons per status,/User Approvals/UI,UI,Normal,Approved,Manual,,User Approvals,Verify each user's Status badge uses the correct tone and that Approve/Reject buttons are shown or hidden according to the user's current status.,"Logged in as QA super-admin; the tenant has one pending, one approved and one rejected user (use the All filter to see all three).",,"1. Navigate to /app/approvals and click the All filter.
2. Locate the pending, approved and rejected rows.
3. Inspect the Status badge colour/text on each.
4. Inspect the Actions cell on each row.","Status badges: pending = amber, approved = green, rejected = red, each showing the raw status word. Pending row shows BOTH Approve (primary, Check icon) and Reject (red secondary, X icon). Approved row shows ONLY Reject (Approve hidden). Rejected row shows ONLY Approve (Reject hidden).",regression
MSM-APPROVALS-UI-003,Rows sorted newest-first by requested date,/User Approvals/UI,UI,Low,Approved,Manual,,User Approvals,Verify the pending list is ordered by createdAt descending (most recent registration at the top).,Logged in as QA super-admin; at least two pending registrations with distinct createdAt values exist.,,"1. Navigate to /app/approvals (Pending filter is active by default).
2. Read the Requested column top-to-bottom.",Rows are sorted by Requested date descending — the newest sign-up appears first. Rows missing a createdAt sort to the bottom and still display '—' in the Requested column without breaking the order.,
MSM-APPROVALS-VAL-001,Reject requires explicit confirmation dialog,/User Approvals/Validation,Validation,High,Approved,Manual,,User Approvals,Verify clicking Reject opens a danger confirmation dialog with the correct copy and that cancelling makes no change.,Logged in as QA super-admin; at least one non-rejected user is listed.,,"1. Navigate to /app/approvals.
2. Click Reject on a pending or approved user.
3. Read the confirmation dialog title, message and buttons.
4. Click Cancel (dismiss without confirming).
5. Observe the user's status.","A confirm dialog appears with title 'Reject registration', message 'Reject {name or email}? They will not be able to sign in.', a danger-styled 'Reject' confirm button and a Cancel button. Cancelling closes the dialog and leaves the user's status unchanged (no toast, no data write).",negative
MSM-APPROVALS-VAL-002,Date-range filter includes and excludes by requested date,/User Approvals/Validation,Validation,Normal,Approved,Manual,,User Approvals,Verify the from/to date-range filter inclusively bounds rows by createdAt and that empty bounds mean unbounded.,Logged in as QA super-admin; at least two users with createdAt dates on different days exist.,from = the earlier user's date; to = same earlier date,"1. Navigate to /app/approvals and select the All filter.
2. Note the Requested dates of the visible users.
3. Set the 'from' and 'to' dates to bracket only the earlier user's date.
4. Clear both date fields.",With a bracketing range only users whose createdAt falls inside the inclusive range remain; users outside the range disappear. Users lacking a createdAt are excluded whenever a 'from' is set (empty date fails the lower bound). Clearing both dates restores the full list (unbounded).,
MSM-APPROVALS-FUNC-001,All four status filters plus empty-state copy per filter,/User Approvals/Functionality,Functionality,High,Approved,Manual,,User Approvals,"Verify each status filter (Pending / Approved / Rejected / All) narrows the list to the matching status, the date-range filter composes with it, and the correct empty-state copy shows per filter.",Logged in as QA super-admin. Ideally have at least one user in each status; for the empty-state checks use a tenant/filter combination that yields zero rows.,,"1. Navigate to /app/approvals; confirm Pending is the default active filter.
2. Click Approved, then Rejected, then All, inspecting the Status column each time.
3. With All selected, apply a date range that matches no user and observe the empty state.
4. Switch to Pending on a tenant/date-range that yields no pending rows and read the empty-state title and description.
5. Switch to Approved (or Rejected/All) on a filter that yields no rows and read the empty-state title and description.","Pending shows only pending users, Approved only approved, Rejected only rejected, All shows every user regardless of status. The date-range filter further narrows any selection. When no rows match: the Pending filter shows title 'No pending registrations' with description 'New sign-ups will appear here for your approval.'; every other filter shows title 'No records' with description 'Nothing to show for this filter.'",smoke
MSM-APPROVALS-FUNC-002,Approve a pending registration,/User Approvals/Functionality,Functionality,Highest,Approved,Manual,,User Approvals,"Verify approving a pending user updates status to approved, shows a success toast, refreshes the list, and hides the Approve button.",Logged in as QA super-admin; a disposable pending registration exists (create one via /signup if needed).,Pending applicant with a known fullName/email,"1. Navigate to /app/approvals (Pending filter).
2. Click Approve on the target pending user.
3. Observe the toast.
4. Observe the row after the list refreshes (it drops off the Pending filter); switch to Approved to confirm.
5. Inspect the Actions cell for the now-approved user.","A success toast '{fullName or email} approved' appears. The users query is invalidated and refetched: the user's status becomes 'approved' (green badge under Approved/All), it no longer appears under Pending, the pending count decreases, and the Approve button is hidden for that user (only Reject remains).",smoke
MSM-APPROVALS-FUNC-003,Reject a registration after confirming,/User Approvals/Functionality,Functionality,High,Approved,Manual,,User Approvals,"Verify confirming the Reject dialog sets status to rejected, shows a success toast, refreshes the list, and hides the Reject button.",Logged in as QA super-admin; a disposable pending (or approved) registration exists.,Disposable applicant,"1. Navigate to /app/approvals.
2. Click Reject on the target user and confirm 'Reject' in the dialog.
3. Observe the toast.
4. Switch to the Rejected filter and locate the user.
5. Inspect the Actions cell for the rejected user.",Success toast 'Registration rejected' appears. The list refreshes and the user's status becomes 'rejected' (red badge under Rejected/All). The Reject button is hidden for that user (only Approve remains).,
MSM-APPROVALS-FUNC-004,Approved/All filters render without a client crash when a user lacks a created date,/User Approvals/Functionality,Functionality,Highest,Approved,Manual,,User Approvals,Regression: verify switching to the Approved and All filters renders the table without a client-side crash even when a listed user (e.g. a legacy/seed account or the super admin) has no createdAt.,Logged in as QA super-admin. The users list includes at least one account with no createdAt (the super-admin/legacy seed account qualifies) — visible under Approved and/or All.,,"1. Navigate to /app/approvals.
2. Click the Approved filter and wait for the table to render.
3. Click the All filter and wait for the table to render.
4. Open the browser console / inspect the DOM root.
5. Confirm the created-date-less user appears with '—' in the Requested column.","Both the Approved and All views render normally — the page does NOT crash: no '<html id=""__next_error__"">', no 'This page couldn't load' error screen, no console error from calling .slice on undefined. Users without a createdAt display '—' in the Requested column and sort to the bottom. (Guarded by (u.createdAt ?? '') in the inRange filter and sort comparator.)",regression
MSM-APPROVALS-API-001,Approve/Reject mirror decision to set_user_approval and refresh cache,/User Approvals/API,API,High,Approved,Manual,,User Approvals,"Verify an approve/reject writes app_state via upsert and issues the set_user_approval RPC, and that the users query is invalidated so the UI reflects the new state.",Logged in as QA super-admin with browser DevTools Network tab open; a disposable pending user exists.,,"1. Open DevTools > Network and filter to Supabase REST/RPC calls.
2. Navigate to /app/approvals and Approve the disposable user.
3. Inspect the network calls made during the action.
4. Observe whether the users list refetches.","An upsert to the app_state table (id 'singleton') persists the users array with the user's status='approved', decidedAt (ISO timestamp) and decidedBy set. An RPC POST to set_user_approval with { p_email, p_approved: true } is sent (a 'function does not exist' error is silently ignored; any other RPC error surfaces an error toast). After success the qk.users.all query is invalidated and refetched, updating the table without a manual reload.",regression
MSM-APPROVALS-API-002,Approve/Reject failure surfaces an error toast,/User Approvals/API,API,Normal,Approved,Manual,,User Approvals,Verify a failed approve/reject mutation shows the correct fallback error toast and does not falsely report success.,"Logged in as QA super-admin; ability to force a backend failure (e.g. block the app_state upsert / set_user_approval RPC via DevTools request blocking, or go offline).",,"1. Open DevTools and block the Supabase app_state upsert (or the set_user_approval RPC) request, or disable the network.
2. Navigate to /app/approvals and click Approve on a user.
3. Repeat with Reject (confirm the dialog first).
4. Observe the toast and the row status.",Approve failure shows an error toast defaulting to 'Approve failed' (or the mapped server message via toUserMessage); Reject failure shows 'Reject failed'. No success toast appears and the user's displayed status is unchanged.,negative
MSM-APPROVALS-SEC-001,Non-super-admin is redirected away from /app/approvals,/User Approvals/Security,Security,Highest,Approved,Manual,,User Approvals,Verify a regular approved (non-super-admin) user cannot view the approvals page and is redirected to /app.,Logged in as a regular approved User (NOT a SUPER_ADMIN_EMAILS account).,Regular user session,"1. While logged in as a regular user, navigate directly to /app/approvals.
2. Observe the resulting page/route.","The approvals content never renders (component returns null) and the app navigates (replace) to /app. No user list, filters or action buttons are shown to the non-super-admin.",security
MSM-APPROVALS-SEC-002,Unauthenticated access to /app/approvals is blocked by the shell,/User Approvals/Security,Security,High,Approved,Manual,,User Approvals,Verify an unauthenticated visitor cannot reach the approvals page and is redirected to the public landing by the portal shell.,No active session (logged out / fresh browser).,,"1. Ensure you are logged out.
2. Navigate directly to /app/approvals.
3. Observe the redirect target.",The authenticated portal shell (app/app/layout.tsx) redirects to '/' (not /login). No approvals data is exposed to an unauthenticated request.,security
MSM-APPROVALS-SEC-003,Super-admin identity limited to SUPER_ADMIN_EMAILS,/User Approvals/Security,Security,Normal,Approved,Manual,,User Approvals,Verify only accounts whose email is in SUPER_ADMIN_EMAILS are treated as super admin and can see/action approvals.,Access to both a SUPER_ADMIN_EMAILS account (QA super-admin) and a regular approved account.,Super-admin email vs. a non-listed email,"1. Log in as the QA super-admin (email in SUPER_ADMIN_EMAILS) and open /app/approvals.
2. Log out and log in as a regular approved user, then open /app/approvals.","The SUPER_ADMIN_EMAILS account sees the full approvals page (session.role SuperAdmin, isSuperAdmin true). The non-listed account is treated as a regular User (isSuperAdmin false) and is redirected to /app with no access. Email matching is case-insensitive.",security
MSM-APPROVALS-DB-001,Approval decision persists in app_state.data.users,/User Approvals/Database,Database,High,Approved,Manual,,User Approvals,"Verify approve/reject decisions persist to app_state.data.users (status, decidedAt, decidedBy) and survive a page reload.",Logged in as QA super-admin; a disposable pending user exists.,,"1. Navigate to /app/approvals and Approve the disposable user.
2. Hard-reload the page (or re-open /app/approvals).
3. Switch to the Approved filter and confirm the user's state.
4. (Optional) Inspect app_state.data.users in Supabase to confirm the stored fields.","After reload the user is still status 'approved' under the Approved filter. The persisted record carries status='approved', a decidedAt ISO timestamp and decidedBy = the super-admin username (falling back to 'admin'). The decision is not lost on refresh (written to the singleton app_state row, not just client state).",regression
MSM-APPROVALS-DB-002,Approval decision gates downstream login,/User Approvals/Database,Database,Normal,Approved,Manual,,User Approvals,"Verify the persisted status is enforced at login — pending cannot sign in, rejected is refused, approved can sign in.",Logged in as QA super-admin; access to a disposable applicant's credentials (created via /signup).,Disposable applicant email/password,"1. As super-admin, leave the applicant pending; attempt to log in as that applicant.
2. As super-admin, Reject the applicant; attempt to log in again.
3. As super-admin, Approve the applicant; attempt to log in again.",Pending login is blocked with 'Your account is awaiting super-admin approval.'; rejected login is refused with 'Your registration was not approved. Please contact the administrator.'; approved login succeeds and reaches /app. This confirms the approvals decision (mirrored to set_user_approval and reflected by resolveSupabaseSession) drives access.,security
